"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:17:06.599,""2024-06-15 12:17:21.284"",47.668237,8.984734,295.82,0.0169823,295.82,-0.77,-0.31,15,0.6855,64,3.898,-0.4119,-246.1"
"2024-06-15 12:17:07.599,""2024-06-15 12:17:21.284"",47.668236,8.984734,295.82,0.01378802,295.82,-0.79,-0.3,15,0.6768,64,3.898,-0.407,-246.1"
"2024-06-15 12:17:08.599,""2024-06-15 12:17:21.284"",47.668236,8.984734,295.82,0.01440052,295.82,-0.77,-0.29,15,0.668,64,3.898,-0.4009,-246.1"
"2024-06-15 12:17:09.599,""2024-06-15 12:17:21.284"",47.668236,8.984734,295.82,0.01280063,295.82,-0.75,-0.27,16,0.6597,64,3.898,-0.3938,-246.1"
"2024-06-15 12:17:10.599,""2024-06-15 12:17:21.284"",47.668236,8.984735,295.82,0.01707677,295.82,-0.76,-0.31,16,0.6519,64,3.898,-0.3879,-246.1"
"2024-06-15 12:17:11.599,""2024-06-15 12:17:21.285"",47.668236,8.984735,295.82,0.0248171,295.82,-0.77,-0.31,16,0.6445,64,3.898,-0.3828,-246.1"
"2024-06-15 12:17:12.599,""2024-06-15 12:17:21.285"",47.668236,8.984735,295.82,0.01394357,295.82,-0.77,-0.3,16,0.6367,64,3.898,-0.3779,-246.1"
"2024-06-15 12:17:13.599,""2024-06-15 12:17:21.285"",47.668236,8.984735,295.82,0.01283365,295.82,-0.77,-0.32,16,0.6299,64,3.898,-0.3718,-246.1"
"2024-06-15 12:17:14.599,""2024-06-15 12:17:21.285"",47.668236,8.984735,295.82,0.01861896,295.82,-0.75,-0.32,16,0.6235,64,3.898,-0.3679,-246.1"
"2024-06-15 12:17:15.599,""2024-06-15 12:17:21.285"",47.668236,8.984735,295.82,0.01453214,295.82,-0.75,-0.3,16,0.6167,64,3.898,-0.3618,-246.1"
