servertime;latitude;longitude;"""HDT - Heading True""";SOG in m/s;SOG in Knoten;"""COG - Course over Ground""";Heel;"""Trim Fore / Aft""";"""GPS Satellites""";"""GPS HAcc""";"""Battery Charge""";"""Battery 1 Voltage""";"""Battery 1 Current""";"""Battery 1 Temperature""";;;;;
"""2024-04-14 13:37:52.077""";47.665683;8.969894;348.84;3.642388;7.262921672;0.94;77.57;6.21;16;0.4258;73;3.967;-0.3948;-231.1;;;;;
"""2024-04-14 13:18:55.1""";47.667548;8.968418;334.19;5.367675;10.70314395;0.96;83.63;9.21;16;0.4658;76;3.992;-0.3518;-230.1;;;;;
"""2024-04-14 11:12:06.095""";47.664331;8.97671;0.29;0.1033836;0.206146898;0.98;149.21;2.36;15;1.485;96;4.16;-0.3159;-238.1;;;;;
"""2024-04-14 12:36:18.108""";47.666681;8.969841;330.6;2.802768;5.588719392;0.98;97.52;26.94;16;0.3459;83;4.043;-0.376;-232.1;;;;;
"""2024-04-14 12:07:36.23""";47.665801;8.966425;329.91;5.801092;11.56737745;1;77.07;14.66;16;0.5908;89;4.094;-0.345;-234.1;;;;;
"""2024-04-14 12:07:36.616""";47.666608;8.968714;328.34;5.91435;11.7932139;1;87.11;22.52;16;0.6235;89;4.094;-0.3608;-234.1;;;;;
"""2024-04-14 13:17:37.116""";47.66578;8.966235;335.06;6.181888;12.32668467;1.04;88.78;15.15;16;0.4089;76;3.994;-0.387;-230.1;;;;;
"""2024-04-14 12:24:18.107""";47.65898;8.953168;333.63;3.985686;7.947457884;1.12;87;26.03;16;0.6016;85;4.062;-0.334;-234.1;;;;;
"""2024-04-14 12:35:47.133""";47.665678;8.966956;335.35;4.72662;9.42488028;1.19;84.94;19.73;16;0.313;83;4.047;-0.3459;-231.1;;;;;
"""2024-04-14 13:13:42.429""";47.662851;8.958279;333.19;4.954936;9.880142384;1.2;90;14.92;16;0.4128;77;4;-0.3779;-231.1;;;;;
"""2024-04-14 12:38:19.6""";47.668321;8.973306;334.93;5.61057;11.18747658;1.21;81.09;20.92;16;0.3459;82;4.043;-0.356;-231.1;;;;;
"""2024-04-14 13:54:16.046""";47.667041;8.964149;329.16;4.193213;8.361266722;1.21;86.17;10.94;15;0.6035;71;3.947;-0.3948;-231.1;;;;;
